600
2639	!!	3
3100	!!〉	2
5761	!!」	2
82	!!』（	2
6499	!?	3
2687	!?』（	2
6272	)@	1
4215	)、	3
2922	)「	2
6526	)：	1
4299	...	2
4385	...【	2
2400	.」	2
6029	00	2
6273	000	1
6274	03	2
753	04	3
6275	06	3
4156	09	2
25	10	76
779	100	8
1976	1000	7
3593	1011	3
4703	106	2
1485	11	79
4704	110	2
5604	1100	2
1846	1130	2
924	119	4
1106	12	44
5415	120	4
804	1200	3
3816	122	2
2451	124	2
2452	127	2
1677	13	28
6359	130	2
2453	137	2
805	14	22
6360	140	1
806	1400	2
2454	141	2
2455	142	2
4259	1448	2
428	15	55
6041	150	2
6241	1500	2
754	16	91
4260	160	3
2456	161	2
4261	162	2
2887	167	2
807	17	52
83	18	56
2457	180	2
6242	1890	2
2326	19	53
1583	1902	2
2990	1920	2
1486	1928	2
429	1956	4
1584	1963	2
5762	1965	2
2781	1968	3
1585	1980	2
1847	1982	2
2761	1983	2
2128	1984	2
2458	199	2
5973	1990	2
1586	1993	2
1587	1998	3
755	1999	4
808	20	47
2991	200	8
26	2000	6
27	2001	6
6509	2002	2
3226	2003	5
3366	2005	3
84	2006	6
4634	2007	4
2762	2008	4
6085	2009	2
1977	2010	7
28	2011	8
5763	2012	8
2129	2013	9
1678	2014	6
3656	2015	18
1914	2016	9
1588	2017	17
29	2018	33
2640	2019	15
2550	2021	2
3101	21	15
2459	22	13
2460	220	2
4635	2204	2
2461	222	2
4262	2251	2
1177	23	10
85	24	21
86	25	13
4263	26	11
2782	27	9
2888	278	2
2688	28	12
4264	2867	2
6500	2878	1
5292	29	5
4354	2971	2
87	30	43
6086	3000	3
5416	31	7
4265	314	2
2689	32	4
6790	33	2
3418	34	8
5605	3400	2
1589	35	14
3853	36	8
5646	37	2
4266	3765	2
1590	38	4
5742	380	2
5201	39	3
2401	40	23
6057	4000	2
6673	41	2
2889	42	4
2462	43	4
1848	44	8
3102	45	9
3942	450	2
88	46	8
3395	463	2
3419	47	3
2690	48	5
5202	49	11
2691	50	16
809	500	4
810	5000	4
3817	51	4
756	52	2
4267	525	2
4705	53	9
925	55	6
3103	56	2
2551	57	6
1107	58	4
4157	60	2
1849	600	2
1591	6000	3
4268	617	2
5764	62	2
3396	63	4
5714	630	2
3594	631	4
757	64	7
3772	649	2
1679	65	4
2276	650	2
1680	6525	2
5715	66	2
3979	67	4
2327	6700	4
5417	6744	2
5293	68	3
4706	69	3
1681	70	9
758	7066	2
3595	71	10
1682	72	3
4042	74	2
5294	75	2
3980	76	5
2130	77	9
2463	78	3
5418	7875	2
5295	79	2
2328	80	7
1850	800	4
5419	8013	2
5296	81	2
4528	82	4
4707	84	2
2329	8400	4
5875	85	4
5718	87	3
2890	89	2
1487	90	5
2464	91	6
4269	9248	2
2465	93	3
2466	94	4
2467	95	4
2468	99	2
2692	://	2
811	ABC	3
2330	ABL	4
3038	ADK	2
812	AFP	20
813	AFPBBNews	18
2693	AKB	3
1683	ALBA	2
2891	ANA	4
6444	AP	2
1204	APEC	4
1851	ARASanJuan	4
4386	ARIAKE	2
4387	ATP	3
2469	AlexandraStepanova	2
2470	AlinaZagitova	2
2471	AmITheOne	2
6674	AquaTimez	1
5765	BGM	2
4636	BMW	2
